Category;body
autres-contributions;Pour rendre compte des engagements, des efforts entrepris, chaque dépense du budget national doit pouvoir être notée d'un critère très favorable :  +2 à très défavorable :  -2 par rapport à son action sur le changement climatique. A terme on aura un point de vue global sur la politique de l'Etat. Une comptabilité verte, peut aussi être appliquée aux dépenses des élus du parlement en chiffrant les types de déplacements choisis, les achats publics réalisés... par les parlementaires. Sans exemplarité de ceux-ci qui peut croire à la sincérité de leurs propos sur le changement climatique. Leur mode de vie est leur message. Etre un élu de la république c'est penser à l'échelle de plusieurs générations et pas à celle d'une l'élection...
autres-contributions;"Bonjour,

Le service militaire était il y a encore 20 ans obligatoire, et avait pour objectif aujourd'hui dépassé de préparer la nation à l'effort de guerre. En fin de Vie, ce service  militaire obligatoire gardait un rôle social important (formation, mixité sociale, etc...)

La lutte contre le réchauffement climatique, comme son nom l'indique est une ""guerre"", et la remise en place d'un service national ""climatique"" obligatoire répondrait à plusieurs problématiques, au niveau d'engagement qu'il nécessite:
- Formation des jeunes aux enjeux climatiques
- Participation citoyenne à des efforts de conversion rendu plus accessible comme le feraient des subventions mais de manière plus participative
- Formation des plus fragiles aux travers des activités qu'il auront à réaliser
- Travaux d’intérêts généraux orientés vers la lutte contre le réchauffement et l'écologie en générale (rénovation énergétique batiments publiques; maraichage bio pour collectivités
- ....

En allant jusqu'au bout de l'idée, on pourrait imaginer une année citoyenne en fin de carrière afin que les anciens ou jeunes retraités transmettent leur savoirs et compétences aux plus jeunes, favorisant la solidarité transgénérationnel et la cohésion sociale."
autres-contributions;"Comment s’organisent aujourd'hui les institutions pour garantir ce qui est le plus important à savoir le respect des intérêts privés et le contrôle du budget.

- Pour les intérêts privés, la constitution considère la propriété comme un droit sacré et oblige tout projet ou proposition de loi à être accompagné d'une étude d'impact sur ses conséquences économiques.
- Pour le budget il y a une loi de finance qui mobilise le parlement pendant deux mois à la fin de l'année et il est interdit aux parlementaires de proposer des lois qui induisent une charge sur le budget.

En conséquence si l'on veut réellement préserver notre écosystème il faut : 
- Constitutionnaliser la priorité de la gestion des communs sur la propriété individuelle exclusive et reconnaitre l’écocide. 
- Systématiser les études d’impact écologique pour toute loi ou texte d’application, 
- Instaurer une loi de transition écologique suivie au même rang que la loi de finances, 
- Interdire les lois ou amendements induisant des charges sur le climat ou la biodiversité"
autres-contributions;"L'État, actionnaire (même minoritaire et à fortiori quand il est majoritaire) d'entreprises qui exploitent leurs activités à l'étranger devrait leur proposer un moratoire, une charte... qui leur imposerait le respect des réglementations françaises ""à minima"" dans les pays qui sont souvent moins regardant et moins contrôlés que chez nous. 
La valeur de l'exemple est bien plus parlante que tous les discours : ""Ne pas faire chez les autres ce que nous ne faisons pas chez nous"". 
Le rayonnement de la France est à ce prix, n'en déplaise aux nombreux lobbies. 
Brunovp"
autres-contributions;"Je veux souligner ce que dit Pierre Larrouturou appelant à la création d'une banque qui permette de financer les investissements nécessaires à la reconversion de notre société.

La Convention Citoyenne a les moyens de lancer l'initiative au niveau de la France à défaut de pouvoir le faire à l'échelle européenne.

C'est l'occasion ou jamais !"
autres-contributions;"L'histoire législative Française abonde d'exemples de détournement de l'esprit des lois par des décrets d'application qui les vident de leur sens ou organisent méthodiquement des brêches dans lesquelles les juristes des grandes entreprises sauront s'engouffrer et pour cause : ce sont eux qui sont à la manoeuvre à l'Assemblée et dans les ministères.
Je crains donc, cette fois encore, que nous n'échappions pas à ce phénomène sauf à disposer du temps nécessaire pour détailler les modalités d'application des propositions émanant de la CCC.
Bon courage !"
autres-contributions;"Il faudrait soumettre à référundum toute privatisation d'un bien public (ADP, SNCF, autoroutes, ...) afin que ce ne soient pas uniquement des experts en économie ou du commerce qui interviennent dans ces transactions avec comme risque qu'ils ne prennent pas en compte les aspects environnementaux et sociaux de telles ventes. 
Cela inciterait aussi les partie prenantes à communiquer sur les tenants et aboutissants de ces transactions permettant aux citoyens de s'éduquer sur ces sujets et de mieux comprendre l'utilité d'une vente éventuelle."
autres-contributions;"L'Article R212-48 du Code de l'environnement prévoit qu' ""Est puni de l'amende prévue pour les contraventions de la 5e classe le fait de ne pas respecter les règles édictées par le schéma d'aménagement et de gestion des eaux sur le fondement du 2° et du 4° de l'article R. 212-47. ""

Or le 3° du R. 212-47 CE, qui est oublié dans cet art. R212-47, prévoit dans les SAGE une reconnaissance des zones humides ainsi que des zones d'alimentation de captage.
Le panel de mesures de protection des ZH serait donc amélioré si le R212-47 incluait le 3°.
Ce serait notamment utile dans le traitement et l'instruction des dossiers par les DDT."
autres-contributions;Si généralisation de la démarche, moins de passage de camions d'entretien des chaussées et trottoirs
autres-contributions;Le bon bilan carbone de la France tient en particulier à  la part du nucléaire dans la production d'électricité. L'objectif ambitieux de réduction affiché serait plus réalisable si l'on maintient voire développe notre parc nucléaire.
